id,checking,credit_usage,credit_history,purpose,current_balance,savings,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,x<0,6,critical/other existing credit,radio/tv,1169,no known savings,x>=7,4,male single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,good
2,0<=x<200,48,existing paid,radio/tv,5951,x<100,1<=x<4,2,female div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes,bad
3,no checking,12,critical/other existing credit,education,2096,x<100,4<=x<7,2,male single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,good
4,x<0,42,existing paid,furniture/equipment,7882,x<100,4<=x<7,2,male single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,good
5,x<0,24,delayed previously,new car,4870,x<100,1<=x<4,3,male single,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad
6,no checking,36,existing paid,education,9055,no known savings,1<=x<4,2,male single,none,4,no known property,35,none,for free,1,unskilled resident,2,yes,yes,good
7,no checking,24,existing paid,furniture/equipment,2835,500<=x<1000,x>=7,3,male single,none,4,life insurance,53,none,own,1,skilled,1,none,yes,good
8,0<=x<200,36,existing paid,used car,6948,x<100,1<=x<4,2,male single,none,2,car,35,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
9,no checking,12,existing paid,radio/tv,3059,x>=1000,4<=x<7,2,male div/sep,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,good
10,0<=x<200,30,critical/other existing credit,new car,5234,x<100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
11,0<=x<200,12,existing paid,new car,1295,x<100,x<1,3,female div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,bad
12,x<0,48,existing paid,business,4308,x<100,x<1,3,female div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad
13,0<=x<200,12,existing paid,radio/tv,1567,x<100,1<=x<4,1,female div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,good
14,x<0,24,critical/other existing credit,new car,1199,x<100,x>=7,4,male single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,bad
15,x<0,15,existing paid,new car,1403,x<100,1<=x<4,2,female div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,good
16,x<0,24,existing paid,radio/tv,1282,100<=x<500,1<=x<4,4,female div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,bad
17,no checking,24,critical/other existing credit,radio/tv,2424,no known savings,x>=7,4,male single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,good
18,x<0,30,no credits/all paid,business,8072,no known savings,x<1,2,male single,none,3,car,25,bank,own,3,skilled,1,none,yes,good
19,0<=x<200,24,existing paid,used car,12579,x<100,x>=7,4,female div/dep/mar,none,2,no known property,44,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
20,no checking,24,existing paid,radio/tv,3430,500<=x<1000,x>=7,3,male single,none,2,car,31,none,own,1,skilled,2,yes,yes,good
21,no checking,9,critical/other existing credit,new car,2134,x<100,1<=x<4,4,male single,none,4,car,48,none,own,3,skilled,1,yes,yes,good
